timeStamp,nOrder
2018-01-03 04:00:00,1
2018-01-03 05:00:00,7
2018-01-03 06:00:00,26
2018-01-03 07:00:00,165
2018-01-03 08:00:00,306
2018-01-03 09:00:00,514
2018-01-03 10:00:00,1794
2018-01-03 11:00:00,3631
2018-01-03 12:00:00,6672
2018-01-03 13:00:00,5849
2018-01-03 14:00:00,4768
2018-01-03 15:00:00,5146
2018-01-03 16:00:00,5514
2018-01-03 17:00:00,6808
2018-01-03 18:00:00,7018
2018-01-03 19:00:00,9896
2018-01-03 20:00:00,9674
2018-01-03 21:00:00,7042
2018-01-03 22:00:00,3839
2018-01-03 23:00:00,1564
2018-01-04 00:00:00,653
2018-01-04 01:00:00,229
2018-01-04 02:00:00,49
2018-01-04 03:00:00,23
2018-01-04 04:00:00,4
2018-01-04 05:00:00,8
2018-01-04 06:00:00,19
2018-01-04 07:00:00,143
2018-01-04 08:00:00,234
2018-01-04 09:00:00,473
2018-01-04 10:00:00,1553
2018-01-04 11:00:00,3682
2018-01-04 12:00:00,6715
2018-01-04 13:00:00,5375
2018-01-04 14:00:00,4789
2018-01-04 15:00:00,4996
2018-01-04 16:00:00,4917
2018-01-04 17:00:00,6519
2018-01-04 18:00:00,7679
2018-01-04 19:00:00,9890
2018-01-04 20:00:00,9409
2018-01-04 21:00:00,6949
2018-01-04 22:00:00,4103
2018-01-04 23:00:00,1916
2018-01-05 00:00:00,726
2018-01-05 01:00:00,279
2018-01-05 02:00:00,53
2018-01-05 03:00:00,28
2018-01-05 04:00:00,10
2018-01-05 05:00:00,2
2018-01-05 06:00:00,13
2018-01-05 07:00:00,149
2018-01-05 08:00:00,399
2018-01-05 09:00:00,487
2018-01-05 10:00:00,1730
2018-01-05 11:00:00,3160
2018-01-05 12:00:00,5365
2018-01-05 13:00:00,6307
2018-01-05 14:00:00,5125
2018-01-05 15:00:00,4980
2018-01-05 16:00:00,5922
2018-01-05 17:00:00,6926
2018-01-05 18:00:00,7971
2018-01-05 19:00:00,10490
2018-01-05 20:00:00,10559
2018-01-05 21:00:00,8107
2018-01-05 22:00:00,4777
2018-01-05 23:00:00,2549
2018-01-06 00:00:00,1179
2018-01-06 01:00:00,473
2018-01-06 02:00:00,139
2018-01-06 03:00:00,75
2018-01-06 04:00:00,8
2018-01-06 05:00:00,0
2018-01-06 06:00:00,24
2018-01-06 07:00:00,236
2018-01-06 08:00:00,361
2018-01-06 09:00:00,666
2018-01-06 10:00:00,2642
2018-01-06 11:00:00,4275
2018-01-06 12:00:00,6722
2018-01-06 13:00:00,7191
2018-01-06 14:00:00,7268
2018-01-06 15:00:00,7307
2018-01-06 16:00:00,7609
2018-01-06 17:00:00,8668
2018-01-06 18:00:00,8585
2018-01-06 19:00:00,12714
2018-01-06 20:00:00,13143
2018-01-06 21:00:00,11502
2018-01-06 22:00:00,7882
2018-01-06 23:00:00,4245
2018-01-07 00:00:00,1875
2018-01-07 01:00:00,678
2018-01-07 02:00:00,170
2018-01-07 03:00:00,40
2018-01-07 04:00:00,6
